ОЭС;Дата;Час;Объем полного планового потребления, МВт*ч;Объем планового производства, МВт*ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт*ч;Индекс равновесных цен на продажу электроэнергии, руб.МВт*ч;Максимальный индекс равновесной цены, руб.МВт*ч;Минимальный индекс равновесной цены, руб.МВт*ч;
ОЭС Центра;01.02.2024;0;31123.08;30249.14;1457.23;1424.85;1764.10;1232.39;
ОЭС Центра;01.02.2024;1;30260.16;30045.28;1296.24;1269.51;1441.27;1099.04;
ОЭС Центра;01.02.2024;2;29747.86;29630.10;1272.00;1246.35;1403.91;1071.18;
ОЭС Центра;01.02.2024;3;29594.06;29683.73;1245.48;1220.41;1366.83;1012.06;
ОЭС Центра;01.02.2024;4;29786.14;29889.34;1283.79;1257.79;1407.07;1055.61;
ОЭС Центра;01.02.2024;5;30664.40;30575.06;1432.06;1402.53;1574.83;1223.26;
ОЭС Центра;01.02.2024;6;31599.79;32611.73;1576.06;1536.88;1768.56;1367.33;
ОЭС Центра;01.02.2024;7;33638.13;33292.85;1871.92;1821.81;2110.94;1602.86;
ОЭС Центра;01.02.2024;8;35305.79;34374.84;2049.14;1991.96;2334.28;1766.98;
ОЭС Центра;01.02.2024;9;36334.71;35312.09;2083.63;2021.37;2389.49;1803.83;
ОЭС Центра;01.02.2024;10;36620.95;35140.11;2115.03;2050.84;2428.01;1833.74;
ОЭС Центра;01.02.2024;11;36460.38;34936.68;2112.49;2049.55;2419.39;1834.86;
ОЭС Центра;01.02.2024;12;36104.70;34343.18;2113.27;2052.12;2406.56;1830.05;
ОЭС Центра;01.02.2024;13;36210.21;34358.79;2120.68;2059.40;2414.19;1839.50;
ОЭС Центра;01.02.2024;14;36140.50;34319.18;2116.67;2055.52;2410.24;1837.84;
ОЭС Центра;01.02.2024;15;35982.74;35015.00;2068.85;2008.26;2356.33;1789.60;
ОЭС Центра;01.02.2024;16;36016.91;34950.45;2056.83;1996.46;2342.00;1780.68;
ОЭС Центра;01.02.2024;17;36284.61;34984.55;2076.48;2014.44;2369.51;1807.02;
ОЭС Центра;01.02.2024;18;36377.72;34940.00;2081.62;2018.50;2379.83;1810.76;
ОЭС Центра;01.02.2024;19;35879.82;34193.21;2082.25;2025.49;2346.73;1813.90;
ОЭС Центра;01.02.2024;20;35106.14;33637.86;1933.03;1879.44;2191.91;1686.37;
ОЭС Центра;01.02.2024;21;34155.67;33044.54;1819.24;1768.01;2068.06;1587.23;
ОЭС Центра;01.02.2024;22;32780.65;32316.93;1581.34;1540.23;1791.19;1390.06;
ОЭС Центра;01.02.2024;23;32304.09;30905.61;1477.08;1442.78;1651.19;1302.86;
ОЭС Центра;31.01.2024;0;31251.46;30147.95;1308.33;1277.56;1630.26;1101.42;
ОЭС Центра;31.01.2024;1;30410.05;29391.48;1242.57;1214.13;1390.89;1010.42;
ОЭС Центра;31.01.2024;2;29884.79;28811.36;1200.23;1172.67;1336.92;972.26;
ОЭС Центра;31.01.2024;3;29702.93;28866.92;1208.23;1181.00;1342.24;962.98;
ОЭС Центра;31.01.2024;4;29829.96;28787.54;1295.92;1268.68;1441.69;1031.85;
ОЭС Центра;31.01.2024;5;30703.87;29540.45;1474.28;1442.09;1647.68;1208.02;
ОЭС Центра;31.01.2024;6;31692.94;30602.06;1744.12;1699.46;1969.83;1455.38;
ОЭС Центра;31.01.2024;7;33727.30;31907.46;1918.46;1866.08;2185.84;1586.99;
ОЭС Центра;31.01.2024;8;35421.32;33664.27;2142.83;2067.29;2538.51;1744.83;
ОЭС Центра;31.01.2024;9;36505.74;34643.29;2249.88;2159.18;2682.16;1813.18;
ОЭС Центра;31.01.2024;10;36869.96;34797.72;2295.84;2199.27;2711.15;1840.38;
ОЭС Центра;31.01.2024;11;36739.06;34281.88;2327.55;2233.79;2694.73;1866.70;
ОЭС Центра;31.01.2024;12;36426.39;34227.51;2283.48;2191.38;2680.63;1835.29;
ОЭС Центра;31.01.2024;13;36544.96;34333.74;2292.46;2199.16;2652.32;1839.29;
ОЭС Центра;31.01.2024;14;36450.38;34340.16;2274.89;2182.51;2678.74;1822.21;
ОЭС Центра;31.01.2024;15;36321.73;34502.94;2233.62;2145.13;2681.17;1797.30;
ОЭС Центра;31.01.2024;16;36406.01;34817.42;2193.36;2107.65;2526.74;1773.95;
ОЭС Центра;31.01.2024;17;36692.63;34879.96;2261.67;2166.25;2706.95;1821.75;
ОЭС Центра;31.01.2024;18;36716.67;34861.96;2258.40;2161.17;2718.03;1817.64;
ОЭС Центра;31.01.2024;19;36191.99;34074.46;2235.46;2146.36;2671.81;1801.62;
ОЭС Центра;31.01.2024;20;35409.56;33568.80;2117.29;2041.18;2553.44;1738.98;
