ОЭС;Дата;Час;Объем полного планового потребления, МВт*ч;Объем планового производства, МВт*ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт*ч;Индекс равновесных цен на продажу электроэнергии, руб.МВт*ч;Максимальный индекс равновесной цены, руб.МВт*ч;Минимальный индекс равновесной цены, руб.МВт*ч;
ОЭС Центра;31.01.2024;21;34535.57;32723.77;1983.76;1926.08;2273.75;1674.51;
ОЭС Центра;31.01.2024;22;33103.38;30834.88;1878.14;1826.20;2087.43;1595.41;
ОЭС Центра;31.01.2024;23;32535.60;30649.96;1655.58;1612.09;1898.18;1370.74;
ОЭС Центра;30.01.2024;0;31487.49;30410.81;1375.27;1342.57;1738.21;1074.00;
ОЭС Центра;30.01.2024;1;30634.28;29869.81;1291.71;1261.76;1550.16;999.38;
ОЭС Центра;30.01.2024;2;30106.46;29446.68;1259.06;1230.99;1388.82;981.51;
ОЭС Центра;30.01.2024;3;29903.94;29308.10;1250.56;1222.68;1376.01;975.38;
ОЭС Центра;30.01.2024;4;30020.78;29820.06;1294.08;1265.40;1422.21;1009.17;
ОЭС Центра;30.01.2024;5;30875.53;30382.31;1447.05;1414.29;1593.66;1139.99;
ОЭС Центра;30.01.2024;6;31789.66;31405.59;1675.67;1633.00;1861.82;1379.42;
ОЭС Центра;30.01.2024;7;33867.89;32689.96;1892.23;1840.82;2119.60;1553.46;
ОЭС Центра;30.01.2024;8;35544.76;33535.56;2110.54;2037.92;2398.92;1679.17;
ОЭС Центра;30.01.2024;9;36667.62;34743.45;2127.05;2050.60;2440.27;1712.01;
ОЭС Центра;30.01.2024;10;37056.55;35095.19;2137.40;2058.31;2472.58;1724.28;
ОЭС Центра;30.01.2024;11;36958.07;34484.14;2169.93;2089.21;2690.60;1747.56;
ОЭС Центра;30.01.2024;12;36668.78;34442.01;2153.34;2075.75;2477.01;1734.88;
ОЭС Центра;30.01.2024;13;36755.93;34523.81;2160.17;2081.65;2450.61;1738.29;
ОЭС Центра;30.01.2024;14;36639.64;34522.24;2162.28;2085.01;2440.35;1742.60;
ОЭС Центра;30.01.2024;15;36521.81;34742.54;2135.46;2060.40;2407.84;1721.19;
ОЭС Центра;30.01.2024;16;36462.14;34690.92;2122.37;2046.79;2395.07;1713.04;
ОЭС Центра;30.01.2024;17;36773.17;34940.76;2129.55;2051.00;2414.49;1723.21;
ОЭС Центра;30.01.2024;18;36799.49;34902.80;2123.23;2040.59;2462.16;1712.77;
ОЭС Центра;30.01.2024;19;36237.88;34011.04;2119.31;2049.79;2378.45;1720.46;
ОЭС Центра;30.01.2024;20;35449.91;33352.21;1947.80;1889.74;2202.25;1605.95;
ОЭС Центра;30.01.2024;21;34611.34;32471.93;1880.44;1827.82;2125.83;1569.41;
ОЭС Центра;30.01.2024;22;33295.84;31583.01;1603.51;1559.60;1810.81;1340.42;
ОЭС Центра;30.01.2024;23;32738.12;30933.00;1515.69;1478.88;1699.93;1239.15;
ОЭС Центра;29.01.2024;0;31625.92;30282.04;1348.35;1315.10;1709.04;1143.30;
ОЭС Центра;29.01.2024;1;30789.74;29700.78;1291.53;1260.89;1455.48;1075.95;
ОЭС Центра;29.01.2024;2;30245.23;29325.22;1251.77;1222.75;1399.83;1024.71;
ОЭС Центра;29.01.2024;3;30063.34;29250.43;1239.22;1210.87;1378.11;1012.82;
ОЭС Центра;29.01.2024;4;30238.11;29523.10;1260.59;1231.77;1396.43;1046.12;
ОЭС Центра;29.01.2024;5;31160.13;30499.47;1382.80;1351.32;1529.87;1146.15;
ОЭС Центра;29.01.2024;6;32197.39;32015.73;1560.09;1520.36;1798.85;1320.03;
ОЭС Центра;29.01.2024;7;34311.26;32934.61;1864.65;1813.32;2117.15;1526.32;
ОЭС Центра;29.01.2024;8;36141.23;33785.72;2110.50;2037.53;2416.91;1656.83;
ОЭС Центра;29.01.2024;9;37236.05;35075.46;2119.03;2032.54;2483.62;1663.83;
ОЭС Центра;29.01.2024;10;37681.40;35541.61;2129.39;2039.67;2510.72;1668.18;
ОЭС Центра;29.01.2024;11;37596.10;34957.80;2148.54;2068.07;2671.72;1698.78;
ОЭС Центра;29.01.2024;12;37238.09;34655.47;2139.37;2062.42;2457.26;1686.64;
ОЭС Центра;29.01.2024;13;37339.82;34817.19;2143.43;2066.61;2462.14;1694.23;
ОЭС Центра;29.01.2024;14;37263.58;34747.80;2142.00;2065.59;2463.09;1689.54;
ОЭС Центра;29.01.2024;15;37144.58;34756.97;2127.80;2053.18;2447.94;1677.67;
ОЭС Центра;29.01.2024;16;37135.40;35116.89;2105.61;2014.94;2486.54;1508.93;
ОЭС Центра;29.01.2024;17;37407.90;35271.21;2115.86;2024.01;2506.38;1567.10;
ОЭС Центра;29.01.2024;18;37468.73;35570.47;2118.56;2025.57;2506.19;1537.85;
ОЭС Центра;29.01.2024;19;36937.41;34323.89;2127.79;2048.52;2460.15;1699.08;
ОЭС Центра;29.01.2024;20;36152.92;33821.12;2003.92;1936.82;2304.55;1615.18;
ОЭС Центра;29.01.2024;21;35266.26;33172.61;1874.35;1819.99;2155.28;1548.52;
ОЭС Центра;29.01.2024;22;33860.84;32242.72;1576.23;1533.14;1842.02;1326.58;
ОЭС Центра;29.01.2024;23;33206.50;31295.92;1509.60;1472.10;1764.12;1289.75;
ОЭС Центра;28.01.2024;0;31780.43;30050.76;1495.83;1458.50;1756.26;1154.18;
ОЭС Центра;28.01.2024;1;30888.54;29803.01;1394.79;1361.54;1571.41;1027.28;
ОЭС Центра;28.01.2024;2;30258.10;29266.75;1290.97;1260.73;1446.46;922.25;
ОЭС Центра;28.01.2024;3;30029.19;29166.21;1282.60;1252.74;1432.99;922.84;
ОЭС Центра;28.01.2024;4;30094.70;29186.75;1289.18;1259.02;1439.49;1077.08;
ОЭС Центра;28.01.2024;5;30549.51;29612.09;1300.00;1269.32;1450.30;1104.93;
ОЭС Центра;28.01.2024;6;30427.26;29931.34;1407.39;1373.58;1575.71;1191.20;
ОЭС Центра;28.01.2024;7;31307.21;30596.71;1565.27;1524.87;1769.67;1305.47;
ОЭС Центра;28.01.2024;8;32415.41;31389.95;1724.66;1676.33;1958.56;1411.62;
ОЭС Центра;28.01.2024;9;33715.72;32261.04;1871.39;1816.33;2141.18;1532.03;
ОЭС Центра;28.01.2024;10;34663.27;32909.18;2001.09;1924.14;2329.83;1589.83;
ОЭС Центра;28.01.2024;11;34994.74;33026.95;2050.14;1963.78;2410.18;1540.14;
ОЭС Центра;28.01.2024;12;34910.73;33024.91;2055.44;1969.60;2409.18;1592.92;
ОЭС Центра;28.01.2024;13;34866.91;32994.61;2060.88;1975.29;2409.49;1630.96;
ОЭС Центра;28.01.2024;14;34829.79;33402.79;2039.44;1952.34;2401.96;1499.67;
ОЭС Центра;28.01.2024;15;34844.55;33721.97;2027.74;1940.78;2390.65;1493.78;
ОЭС Центра;28.01.2024;16;35317.85;33861.34;2088.37;1994.70;2471.28;1522.96;
ОЭС Центра;28.01.2024;17;36100.45;34519.26;2119.89;2021.81;2519.22;1537.80;
ОЭС Центра;28.01.2024;18;36273.53;34412.11;2117.87;2019.69;2519.34;1534.97;
ОЭС Центра;28.01.2024;19;35844.79;33803.54;2092.17;1997.27;2482.82;1523.44;
ОЭС Центра;28.01.2024;20;35282.26;32854.81;2066.26;1983.49;2452.74;1510.84;
ОЭС Центра;28.01.2024;21;34553.01;32492.58;1942.60;1867.08;2363.69;1460.53;
ОЭС Центра;28.01.2024;22;33253.25;31131.33;1695.41;1646.47;1939.36;1407.32;
ОЭС Центра;28.01.2024;23;32771.40;30424.27;1571.76;1530.50;1792.85;1312.09;
ОЭС Центра;27.01.2024;0;32274.49;30468.42;1573.45;1532.08;1803.20;1301.78;
ОЭС Центра;27.01.2024;1;31373.36;29829.24;1484.64;1448.22;1687.12;1216.45;
ОЭС Центра;27.01.2024;2;30745.78;29580.63;1363.22;1330.92;1534.45;1128.70;
ОЭС Центра;27.01.2024;3;30512.45;29423.90;1334.41;1302.85;1497.30;1086.96;
ОЭС Центра;27.01.2024;4;30551.64;29461.16;1353.20;1320.67;1518.16;1138.47;
ОЭС Центра;27.01.2024;5;31076.11;29587.39;1404.56;1370.21;1580.33;1183.50;
ОЭС Центра;27.01.2024;6;30938.99;30380.84;1535.19;1496.28;1732.49;1287.69;
ОЭС Центра;27.01.2024;7;32023.08;31213.21;1702.57;1654.48;1948.02;1389.17;
ОЭС Центра;27.01.2024;8;33422.22;32305.90;1883.05;1828.05;2116.25;1539.35;
ОЭС Центра;27.01.2024;9;34673.30;32772.16;2021.11;1951.24;2337.35;1616.04;
ОЭС Центра;27.01.2024;10;35542.24;33472.92;2124.32;2040.48;2474.92;1677.85;
ОЭС Центра;27.01.2024;11;35816.81;33792.57;2131.11;2044.58;2490.34;1685.29;
ОЭС Центра;27.01.2024;12;35741.46;33771.48;2132.61;2046.83;2486.95;1690.45;
ОЭС Центра;27.01.2024;13;35673.34;33736.46;2130.62;2045.12;2481.58;1685.32;
ОЭС Центра;27.01.2024;14;35577.40;33621.36;2128.40;2045.45;2474.64;1686.17;
ОЭС Центра;27.01.2024;15;35528.75;34448.69;2108.15;2007.49;2516.52;1506.94;
ОЭС Центра;27.01.2024;16;35848.74;35082.96;2222.55;2101.33;2624.28;1676.82;
ОЭС Центра;27.01.2024;17;36362.86;35418.25;2301.09;2175.97;2670.52;1706.95;
ОЭС Центра;27.01.2024;18;36374.57;35566.38;2323.22;2184.54;2740.86;1610.45;
ОЭС Центра;27.01.2024;19;35782.51;34295.02;2115.12;2016.41;2529.27;1512.00;
ОЭС Центра;27.01.2024;20;35138.08;33266.85;2101.05;2005.62;2506.67;1505.65;
ОЭС Центра;27.01.2024;21;34475.24;32612.00;1952.09;1876.60;2298.78;1558.03;
ОЭС Центра;27.01.2024;22;33400.79;31854.93;1707.23;1655.11;1976.83;1383.67;
ОЭС Центра;27.01.2024;23;33045.71;31305.36;1570.55;1527.72;1796.57;1251.01;
ОЭС Центра;26.01.2024;0;32000.39;31174.85;1292.32;1253.28;1440.80;1058.40;
ОЭС Центра;26.01.2024;1;31125.62;30659.33;1204.68;1168.33;1337.18;962.01;
ОЭС Центра;26.01.2024;2;30550.78;30296.51;1191.02;1155.60;1316.53;943.66;
ОЭС Центра;26.01.2024;3;30359.48;30345.12;1194.33;1159.28;1316.94;957.98;
ОЭС Центра;26.01.2024;4;30477.68;30961.53;1217.05;1182.35;1338.26;973.76;
ОЭС Центра;26.01.2024;5;31358.58;31760.40;1349.75;1310.12;1655.60;1121.95;
ОЭС Центра;26.01.2024;6;32105.60;33312.13;1519.09;1475.25;1817.84;1284.18;
ОЭС Центра;26.01.2024;7;34120.94;34211.31;1897.56;1838.82;2071.50;1575.43;
ОЭС Центра;26.01.2024;8;35866.18;34856.98;2070.28;2000.45;2316.45;1677.69;
ОЭС Центра;26.01.2024;9;36961.69;35825.81;2112.92;2023.80;2496.41;1688.81;
ОЭС Центра;26.01.2024;10;37396.82;36063.11;2152.54;2054.43;2505.63;1705.74;
ОЭС Центра;26.01.2024;11;37278.57;35474.63;2164.58;2072.81;2501.80;1720.11;
ОЭС Центра;26.01.2024;12;36967.55;35187.49;2136.26;2050.33;2452.69;1703.79;
ОЭС Центра;26.01.2024;13;37039.43;35227.69;2141.96;2057.12;2439.56;1720.34;
ОЭС Центра;26.01.2024;14;36943.11;35182.34;2147.57;2060.47;2450.60;1715.58;
ОЭС Центра;26.01.2024;15;36883.97;35747.39;2112.08;2021.00;2490.46;1689.95;
ОЭС Центра;26.01.2024;16;36929.98;35942.56;2101.40;2014.79;2404.91;1693.07;
ОЭС Центра;26.01.2024;17;37137.82;36137.13;2124.57;2033.48;2457.51;1712.05;
ОЭС Центра;26.01.2024;18;37043.52;35973.32;2127.07;2027.63;2576.69;1705.14;
ОЭС Центра;26.01.2024;19;36488.08;34967.22;2091.44;2005.25;2610.88;1698.57;
ОЭС Центра;26.01.2024;20;35757.37;34662.93;1963.86;1902.14;2236.33;1663.54;
ОЭС Центра;26.01.2024;21;35006.40;34142.49;1839.52;1781.89;2100.18;1575.41;
ОЭС Центра;26.01.2024;22;33765.27;33189.39;1547.56;1499.55;1795.36;1319.65;
ОЭС Центра;26.01.2024;23;33192.34;32391.15;1480.13;1435.02;1691.00;1282.55;
ОЭС Центра;25.01.2024;0;32041.15;31386.56;1311.91;1272.99;1462.63;1088.18;
ОЭС Центра;25.01.2024;1;31169.29;30532.78;1241.07;1203.34;1376.87;1005.36;
ОЭС Центра;25.01.2024;2;30611.41;30113.70;1203.47;1167.07;1331.47;950.97;
ОЭС Центра;25.01.2024;3;30448.99;30315.05;1207.22;1171.18;1330.60;953.26;
ОЭС Центра;25.01.2024;4;30611.01;30701.55;1246.79;1209.80;1370.65;991.15;
ОЭС Центра;25.01.2024;5;31468.99;31369.16;1377.86;1337.91;1518.03;1128.87;
ОЭС Центра;25.01.2024;6;32234.20;32935.59;1605.12;1494.91;1836.74;293.01;
ОЭС Центра;25.01.2024;7;34266.43;33668.27;1893.33;1801.39;2150.04;1112.09;
ОЭС Центра;25.01.2024;8;36045.39;34182.99;2084.12;2008.25;2261.59;1675.92;
ОЭС Центра;25.01.2024;9;37184.64;35367.35;2138.62;2059.38;2304.78;1722.74;
ОЭС Центра;25.01.2024;10;37605.20;35683.06;2152.76;2073.44;2324.17;1746.46;
ОЭС Центра;25.01.2024;11;37488.17;35214.68;2173.37;2089.43;2357.17;1762.94;
ОЭС Центра;25.01.2024;12;37219.63;34846.93;2152.89;2074.10;2323.30;1741.16;
ОЭС Центра;25.01.2024;13;37298.13;34871.09;2173.12;2082.12;2472.66;1748.16;
ОЭС Центра;25.01.2024;14;37181.09;34794.10;2152.65;2073.68;2326.61;1744.19;
ОЭС Центра;25.01.2024;15;37057.89;35211.95;2113.56;2040.47;2278.19;1719.89;
ОЭС Центра;25.01.2024;16;37190.91;35464.40;2141.03;2056.25;2321.78;1721.29;
ОЭС Центра;25.01.2024;17;37453.57;35766.06;2158.39;2068.80;2420.13;1740.21;
ОЭС Центра;25.01.2024;18;37365.49;35854.66;2167.20;2069.54;2477.35;1731.21;
ОЭС Центра;25.01.2024;19;36811.01;34508.59;2140.61;2050.30;2432.13;1728.99;
ОЭС Центра;25.01.2024;20;36046.96;34011.33;1984.02;1910.90;2171.13;1625.16;
ОЭС Центра;25.01.2024;21;35175.39;33387.82;1829.67;1767.12;2076.27;1518.32;
ОЭС Центра;25.01.2024;22;33824.80;32986.65;1563.66;1514.86;1777.47;1318.69;
ОЭС Центра;25.01.2024;23;33188.51;31559.04;1433.79;1389.52;1613.46;1200.42;
ОЭС Центра;24.01.2024;0;32416.12;31290.46;1281.32;1241.47;1432.63;1059.45;
ОЭС Центра;24.01.2024;1;31555.61;30689.76;1204.79;1167.32;1339.63;961.75;
ОЭС Центра;24.01.2024;2;30986.46;30154.25;1173.97;1137.36;1300.37;925.95;
ОЭС Центра;24.01.2024;3;30834.80;30333.38;1184.70;1148.70;1310.77;930.78;
ОЭС Центра;24.01.2024;4;30989.94;30967.92;1232.86;1196.43;1359.07;963.05;
ОЭС Центра;24.01.2024;5;31858.20;31588.52;1303.90;1266.01;1440.33;1094.23;
ОЭС Центра;24.01.2024;6;32585.40;33277.09;1555.66;1511.16;1735.80;1321.61;
ОЭС Центра;24.01.2024;7;34536.58;34152.78;1922.02;1828.33;2149.49;1321.36;
ОЭС Центра;24.01.2024;8;36258.24;34675.50;2109.82;2006.15;2371.16;1482.12;
ОЭС Центра;24.01.2024;9;37349.41;35933.95;2157.43;2063.19;2431.19;1631.56;
ОЭС Центра;24.01.2024;10;37735.55;36497.54;2168.60;2083.31;2456.69;1757.72;
ОЭС Центра;24.01.2024;11;37639.81;35856.87;2204.56;2114.41;2502.76;1765.28;
ОЭС Центра;24.01.2024;12;37330.05;35501.95;2174.67;2083.21;2474.80;1718.47;
ОЭС Центра;24.01.2024;13;37373.41;35694.92;2174.83;2088.71;2449.73;1751.83;
ОЭС Центра;24.01.2024;14;37240.22;35516.53;2168.61;2084.56;2431.87;1752.64;
ОЭС Центра;24.01.2024;15;37094.16;35764.78;2143.69;2065.10;2386.08;1719.98;
ОЭС Центра;24.01.2024;16;37205.34;35983.61;2154.68;2070.38;2412.49;1745.99;
ОЭС Центра;24.01.2024;17;37457.48;36309.47;2159.53;2076.33;2418.86;1763.80;
ОЭС Центра;24.01.2024;18;37395.13;35615.08;2131.10;2031.40;2760.93;1731.26;
ОЭС Центра;24.01.2024;19;36840.93;34524.19;2103.28;2015.54;2729.28;1728.01;
ОЭС Центра;24.01.2024;20;36057.97;34418.90;2080.42;1998.58;2349.26;1695.16;
ОЭС Центра;24.01.2024;21;35180.57;33685.66;1859.83;1796.72;2108.16;1560.42;
ОЭС Центра;24.01.2024;22;33852.00;33192.21;1554.51;1506.44;1762.13;1324.92;
ОЭС Центра;24.01.2024;23;33211.85;31884.79;1462.82;1419.06;1644.35;1186.15;
ОЭС Центра;23.01.2024;0;32840.62;31635.21;1241.25;1202.77;1394.03;1065.24;
ОЭС Центра;23.01.2024;1;31985.94;30737.46;1180.21;1142.41;1319.24;986.18;
ОЭС Центра;23.01.2024;2;31401.89;30389.01;1130.44;1094.43;1256.66;935.89;
ОЭС Центра;23.01.2024;3;31252.56;30385.01;1120.59;1085.21;1243.80;927.73;
ОЭС Центра;23.01.2024;4;31408.02;30696.41;1173.78;1137.36;1301.45;962.48;
ОЭС Центра;23.01.2024;5;32277.95;31846.64;1265.41;1228.28;1401.93;1068.17;
ОЭС Центра;23.01.2024;6;32975.12;32814.85;1475.98;1434.14;1650.38;1276.15;
ОЭС Центра;23.01.2024;7;35004.91;34184.88;1795.84;1739.92;2037.18;1516.51;
ОЭС Центра;23.01.2024;8;36796.61;35186.06;1986.88;1912.38;2267.17;1657.02;
ОЭС Центра;23.01.2024;9;37859.98;36148.16;2044.36;1963.00;2346.58;1702.44;
ОЭС Центра;23.01.2024;10;38179.88;36186.27;2036.79;1973.57;2196.77;1712.84;
ОЭС Центра;23.01.2024;11;38076.65;35417.46;2097.56;2010.04;2404.67;1728.73;
ОЭС Центра;23.01.2024;12;37728.93;35310.92;2067.12;1982.01;2364.48;1712.04;
ОЭС Центра;23.01.2024;13;37781.65;35316.39;2079.99;1993.96;2380.47;1717.61;
ОЭС Центра;23.01.2024;14;37686.22;35290.38;2078.51;1992.86;2376.05;1717.91;
ОЭС Центра;23.01.2024;15;37549.05;35963.66;2036.19;1956.93;2323.51;1702.20;
ОЭС Центра;23.01.2024;16;37599.80;36153.12;2052.12;1967.97;2349.59;1703.31;
ОЭС Центра;23.01.2024;17;37963.99;36197.05;2091.86;2000.59;2410.51;1714.33;
ОЭС Центра;23.01.2024;18;37826.46;36054.19;2093.29;1997.05;2419.05;1708.89;
ОЭС Центра;23.01.2024;19;37269.63;34873.43;2054.39;1970.59;2347.56;1706.08;
ОЭС Центра;23.01.2024;20;36482.92;34560.59;1925.51;1855.40;2192.60;1627.11;
ОЭС Центра;23.01.2024;21;35604.20;34029.80;1832.34;1771.34;2101.91;1572.72;
ОЭС Центра;23.01.2024;22;34245.52;33232.79;1535.50;1489.06;1752.50;1290.52;
ОЭС Центра;23.01.2024;23;33576.18;32293.94;1375.57;1334.03;1553.56;1179.55;
ОЭС Центра;22.01.2024;0;33029.22;31961.42;1349.70;1308.93;1538.60;1161.38;
ОЭС Центра;22.01.2024;1;32136.78;31142.07;1243.75;1205.38;1406.72;1038.68;
ОЭС Центра;22.01.2024;2;31584.37;30666.19;1197.83;1160.99;1343.83;998.92;
ОЭС Центра;22.01.2024;3;31456.90;30573.82;1192.44;1155.80;1333.44;1005.87;
ОЭС Центра;22.01.2024;4;31651.73;31004.27;1228.24;1191.28;1367.59;1038.06;
ОЭС Центра;22.01.2024;5;32581.51;32019.27;1343.58;1304.50;1498.31;1153.91;
ОЭС Центра;22.01.2024;6;33386.20;33574.36;1512.58;1468.40;1700.88;1323.34;
ОЭС Центра;22.01.2024;7;35641.77;34840.04;1870.72;1804.42;2130.19;1589.63;
ОЭС Центра;22.01.2024;8;37556.50;35777.76;2097.17;2010.55;2419.18;1739.33;
ОЭС Центра;22.01.2024;9;38765.07;36990.95;2173.52;2068.05;2548.66;1770.15;
ОЭС Центра;22.01.2024;10;39206.29;37300.86;2186.18;2079.18;2566.69;1794.52;
ОЭС Центра;22.01.2024;11;39088.24;36565.15;2195.61;2096.57;2553.56;1816.94;
ОЭС Центра;22.01.2024;12;38754.22;36040.07;2184.36;2085.78;2536.29;1802.83;
ОЭС Центра;22.01.2024;13;38749.25;36128.30;2185.52;2087.52;2540.43;1809.38;
ОЭС Центра;22.01.2024;14;38567.33;36028.39;2177.75;2081.03;2528.64;1807.16;
ОЭС Центра;22.01.2024;15;38476.79;36696.02;2157.93;2058.86;2492.08;1780.18;
ОЭС Центра;22.01.2024;16;38643.31;37407.01;2167.10;2065.12;2487.21;1777.86;
ОЭС Центра;22.01.2024;17;38963.65;37706.70;2201.57;2085.66;2583.82;1785.67;
ОЭС Центра;22.01.2024;18;38858.00;37644.47;2206.79;2087.24;2592.21;1781.32;
ОЭС Центра;22.01.2024;19;38284.40;36077.17;2163.11;2060.43;2952.10;1789.01;
ОЭС Центра;22.01.2024;20;37601.55;35498.79;2053.03;1964.87;2464.60;1719.77;
ОЭС Центра;22.01.2024;21;36643.18;34922.08;1861.88;1793.79;2143.96;1601.81;
ОЭС Центра;22.01.2024;22;35178.12;34206.97;1569.66;1516.95;1796.50;1347.53;
ОЭС Центра;22.01.2024;23;34419.42;32966.02;1472.57;1428.47;1666.74;1295.25;
ОЭС Центра;21.01.2024;0;33166.88;31490.44;1310.39;1268.10;1480.80;1119.22;
ОЭС Центра;21.01.2024;1;32243.16;30828.50;1201.18;1162.01;1348.84;1030.30;
ОЭС Центра;21.01.2024;2;31598.33;30526.79;1118.74;1082.65;1250.40;953.55;
ОЭС Центра;21.01.2024;3;31382.97;30402.11;1111.70;1075.82;1241.01;950.42;
ОЭС Центра;21.01.2024;4;31421.88;30441.81;1116.69;1080.52;1246.49;945.61;
ОЭС Центра;21.01.2024;5;31846.29;30725.11;1161.55;1124.63;1296.93;990.93;
ОЭС Центра;21.01.2024;6;31495.94;30870.27;1202.18;1165.14;1345.56;1032.23;
ОЭС Центра;21.01.2024;7;32305.34;31910.30;1329.19;1289.88;1496.68;1135.36;
ОЭС Центра;21.01.2024;8;33509.78;32943.32;1537.04;1490.96;1739.33;1309.88;
ОЭС Центра;21.01.2024;9;34788.55;34277.78;1690.36;1635.59;1928.97;1461.41;
ОЭС Центра;21.01.2024;10;35829.46;35011.50;1780.60;1720.00;2043.90;1547.20;
ОЭС Центра;21.01.2024;11;36259.42;34787.01;1870.88;1801.43;2149.16;1615.04;
ОЭС Центра;21.01.2024;12;36304.01;34810.86;1872.91;1803.05;2151.16;1617.46;
ОЭС Центра;21.01.2024;13;36293.76;34897.25;1868.65;1798.62;2147.64;1613.58;
ОЭС Центра;21.01.2024;14;36227.31;34949.08;1872.34;1802.04;2152.27;1618.88;
